dealer_busts,player_busts,player_loses,draw,player_wins
15,49,59,6,35
12,57,63,4,33
12,45,55,7,38
12,41,51,4,45
15,42,52,2,46
7,55,65,6,29
15,42,54,7,39
14,48,56,8,36
14,48,59,7,34
8,54,61,11,28
15,39,57,6,37
13,51,58,6,36
12,48,54,8,38
15,43,58,2,40
13,47,56,11,33
11,55,63,6,31
17,49,64,2,34
14,39,54,6,40
14,45,53,8,39
12,39,54,6,40
10,47,62,11,27
13,47,53,7,40
9,50,62,9,29
8,51,59,6,35
11,45,56,4,40
12,45,56,4,40
14,49,57,3,40
11,54,66,4,30
13,36,47,8,45
18,37,48,11,41
15,46,53,9,38
13,44,58,5,37
15,44,59,6,35
14,57,63,8,29
15,48,58,6,36
18,36,48,5,47
10,53,65,3,32
7,50,54,7,39
16,43,53,7,40
20,45,49,6,45
13,46,53,10,37
8,46,60,10,30
10,50,59,4,37
11,51,56,5,39
6,41,59,8,33
12,53,66,6,28
9,49,62,4,34
9,48,55,11,34
8,55,60,4,36
17,48,53,6,41
11,47,57,6,37
7,54,65,5,30
9,52,65,7,28
17,42,55,3,42
19,48,54,5,41
10,57,66,5,29
12,39,49,6,45
16,45,52,11,37
17,47,57,8,35
15,48,59,7,34
17,49,63,4,33
10,50,58,7,35
7,53,62,4,34
12,52,60,6,34
19,43,49,9,42
16,45,57,6,37
14,42,54,6,40
15,51,61,6,33
17,48,58,3,39
14,54,61,6,33
15,49,57,4,39
12,50,58,8,34
6,60,67,6,27
17,47,53,8,39
11,49,60,6,34
17,46,59,8,33
11,41,49,6,45
15,41,56,8,36
17,45,52,4,44
13,42,52,10,38
10,54,63,9,28
14,50,60,5,35
13,39,52,4,44
15,40,53,12,35
15,44,52,10,38
14,50,61,7,32
9,47,57,7,36
11,46,51,11,38
11,49,61,5,34
11,47,56,9,35
11,52,59,11,30
13,45,55,6,39
6,45,53,8,39
12,50,59,6,35
9,52,60,6,34
14,43,56,3,41
18,44,51,4,45
15,53,58,7,35
10,40,51,14,35
13,53,58,9,33
10,47,58,8,34
11,51,59,5,36
8,49,58,9,33
6,55,65,6,29
15,45,56,6,38
14,45,49,9,42
12,42,52,10,38
12,51,58,7,35
10,48,61,7,32
15,48,53,5,42
16,45,50,6,44
21,51,59,3,38
8,51,64,5,31
13,45,53,6,41
15,53,59,5,36
16,44,55,7,38
12,48,58,8,34
12,42,54,7,39
7,56,64,7,29
11,46,52,6,42
10,51,61,8,31
13,42,54,7,39
12,46,62,4,34
9,53,61,8,31
8,56,65,4,31
11,51,58,7,35
13,50,62,3,35
18,41,50,7,43
11,45,57,7,36
6,48,61,6,33
