num_decks,dealer_open,dealer_initial,dealer_hit,dealer_num_hits,dealer_final,dealer_busts,player_inital,player_hit,player_num_hits,player_final,player_busts,player_loses,draw,player_wins,strategy,dealer_hand,player_hand
4,5,9,1,1,18,0,12,1,1,21,0,0,0,1,0,"[5, 4, 9]","['K', 2, 9]"
4,8,17,0,0,17,0,14,1,1,20,0,0,0,1,0,"[8, 9]","[9, 5, 6]"
4,8,13,0,0,13,0,18,1,1,23,1,1,0,0,0,"[8, 5]","['J', 8, 5]"
4,7,17,0,0,17,0,20,0,0,20,0,0,0,1,0,"[7, 'J']","[10, 'J']"
4,10,16,0,0,16,0,18,1,1,24,1,1,0,0,0,"['K', 6]","[8, 10, 6]"
4,6,11,1,2,20,0,18,1,1,21,0,0,0,1,0,"[6, 5, 'A', 8]","[8, 10, 3]"
4,8,15,0,0,15,0,13,1,2,26,1,1,0,0,0,"[8, 7]","[5, 8, 5, 8]"
4,4,13,1,3,20,0,13,1,1,21,0,0,0,1,0,"[4, 9, 'A', 'A', 5]","[8, 5, 8]"
4,10,20,0,0,20,0,18,1,2,22,1,1,0,0,0,"[10, 'J']","[7, 'A', 9, 5]"
4,4,14,1,1,17,0,12,1,2,19,0,0,0,1,0,"[4, 'Q', 3]","[10, 2, 6, 'A']"
4,5,16,0,0,16,0,12,1,1,22,1,1,0,0,0,"[5, 'A']","[6, 6, 10]"
4,9,13,1,1,22,1,19,0,0,19,0,0,0,1,0,"[9, 4, 9]","[9, 'K']"
4,3,13,1,1,20,0,10,1,1,21,0,0,0,1,0,"[3, 10, 7]","[7, 3, 'A']"
4,10,20,0,0,20,0,11,1,1,21,0,0,0,1,0,"['Q', 'Q']","[8, 3, 'Q']"
4,10,15,1,1,18,0,19,0,0,19,0,0,0,1,0,"['Q', 5, 3]","[9, 10]"
4,10,19,0,0,19,0,17,1,2,27,1,1,0,0,0,"['K', 9]","['A', 6, 'Q', 'J']"
4,10,15,0,0,15,0,6,1,3,24,1,1,0,0,0,"['J', 5]","[4, 2, 'A', 'K', 7]"
4,5,15,1,1,25,1,11,1,2,21,0,0,0,1,0,"[5, 'Q', 'K']","[6, 5, 4, 6]"
4,1,21,0,0,21,0,15,0,0,15,0,1,0,0,0,"['A', 10]","['J', 5]"
4,10,20,0,0,20,0,13,1,1,20,0,0,1,0,0,"['Q', 10]","['K', 3, 7]"
4,6,17,0,0,17,0,13,1,1,23,1,1,0,0,0,"[6, 'A']","[3, 'Q', 'Q']"
4,10,16,1,1,24,1,15,1,1,19,0,0,0,1,0,"['J', 6, 8]","[8, 7, 4]"
4,10,12,0,0,12,0,16,1,5,22,1,1,0,0,0,"['K', 2]","['A', 5, 6, 'A', 3, 2, 4]"
4,1,21,0,0,21,0,16,0,0,16,0,1,0,0,0,"['A', 'Q']","['K', 6]"
4,10,20,0,0,20,0,20,0,0,20,0,0,1,0,0,"[10, 'Q']","['Q', 10]"
4,10,17,0,0,17,0,13,1,1,22,1,1,0,0,0,"[10, 7]","[4, 9, 9]"
4,8,18,0,0,18,0,15,1,1,23,1,1,0,0,0,"[8, 'J']","[9, 6, 8]"
4,8,10,1,1,19,0,19,0,0,19,0,0,1,0,0,"[8, 2, 9]","[9, 'K']"
4,9,19,0,0,19,0,13,1,1,23,1,1,0,0,0,"[9, 'Q']","[3, 'J', 'J']"
4,8,10,1,1,21,0,17,1,1,19,0,1,0,0,0,"[8, 2, 'A']","[9, 8, 2]"
4,3,14,0,0,14,0,8,1,2,23,1,1,0,0,0,"[3, 'A']","[6, 2, 8, 7]"
4,10,14,0,0,14,0,17,1,1,23,1,1,0,0,0,"['K', 4]","[10, 7, 6]"
4,9,12,1,1,18,0,10,1,1,20,0,0,0,1,0,"[9, 3, 6]","[6, 4, 10]"
4,9,12,1,1,20,0,10,1,2,19,0,1,0,0,0,"[9, 3, 8]","[7, 3, 2, 7]"
4,10,20,0,0,20,0,7,1,2,20,0,0,1,0,0,"['J', 'Q']","[2, 5, 'K', 3]"
4,7,10,1,1,19,0,20,0,0,20,0,0,0,1,0,"[7, 3, 9]","['J', 'Q']"
4,8,11,0,0,11,0,16,1,1,25,1,1,0,0,0,"[8, 3]","[7, 9, 9]"
4,10,12,1,1,19,0,14,1,2,21,0,0,0,1,0,"['Q', 2, 7]","[5, 9, 4, 3]"
4,4,10,0,0,10,0,16,1,1,26,1,1,0,0,0,"[4, 6]","[6, 'Q', 'Q']"
4,7,9,1,3,19,0,20,0,0,20,0,0,0,1,0,"[7, 2, 2, 3, 5]","['K', 10]"
4,8,17,0,0,17,0,12,1,1,22,1,1,0,0,0,"[8, 9]","['Q', 2, 'Q']"
4,5,16,1,4,25,1,20,0,0,20,0,0,0,1,0,"[5, 'A', 6, 'A', 2, 'K']","[10, 10]"
4,6,9,1,2,17,0,18,1,1,21,0,0,0,1,0,"[6, 3, 3, 5]","[8, 'Q', 3]"
4,10,20,0,0,20,0,9,1,1,20,0,0,1,0,0,"['K', 'J']","[7, 2, 'A']"
4,4,14,0,0,14,0,12,1,1,22,1,1,0,0,0,"[4, 'K']","[2, 'K', 10]"
4,1,14,0,0,14,0,14,1,1,24,1,1,0,0,0,"['A', 3]","[7, 7, 'J']"
4,2,12,0,0,12,0,18,1,1,24,1,1,0,0,0,"[2, 'J']","['Q', 8, 6]"
4,4,15,1,1,19,0,20,0,0,20,0,0,0,1,0,"[4, 'A', 4]","['Q', 10]"
4,3,13,1,1,19,0,9,1,1,19,0,0,1,0,0,"[3, 'J', 6]","[4, 5, 'Q']"
4,9,19,0,0,19,0,11,1,1,21,0,0,0,1,0,"[9, 10]","[7, 4, 'Q']"
4,8,19,0,0,19,0,20,0,0,20,0,0,0,1,0,"[8, 'A']","['J', 10]"
4,1,21,0,0,21,0,14,0,0,14,0,1,0,0,0,"['A', 'J']","[9, 5]"
4,6,16,1,1,21,0,13,1,2,21,0,0,1,0,0,"[6, 10, 5]","[6, 7, 5, 3]"
4,1,20,0,0,20,0,15,1,2,24,1,1,0,0,0,"['A', 9]","[5, 'J', 'A', 8]"
4,7,17,0,0,17,0,20,0,0,20,0,0,0,1,0,"[7, 10]","[9, 'A']"
4,10,13,0,0,13,0,13,1,4,25,1,1,0,0,0,"[10, 3]","['A', 2, 2, 8, 2, 'J']"
4,10,15,0,0,15,0,18,1,1,28,1,1,0,0,0,"['J', 5]","[8, 'J', 'K']"
4,5,7,0,0,7,0,18,1,3,28,1,1,0,0,0,"[5, 2]","['A', 7, 4, 6, 10]"
4,10,17,0,0,17,0,21,0,0,21,0,0,0,1,0,"[10, 7]","[10, 'A']"
4,8,15,1,1,22,1,20,0,0,20,0,0,0,1,0,"[8, 7, 7]","[9, 'A']"
4,1,15,0,0,15,0,13,1,1,23,1,1,0,0,0,"['A', 4]","[10, 3, 'J']"
4,3,13,1,1,23,1,6,1,2,19,0,0,0,1,0,"[3, 'Q', 'Q']","[3, 3, 'K', 3]"
4,10,20,0,0,20,0,11,1,2,26,1,1,0,0,0,"['J', 'Q']","[6, 5, 5, 'J']"
4,2,13,0,0,13,0,17,1,1,26,1,1,0,0,0,"[2, 'A']","[7, 'K', 9]"
4,4,14,0,0,14,0,16,1,2,26,1,1,0,0,0,"[4, 'K']","['A', 5, 'K', 'K']"
4,4,14,1,3,21,0,19,0,0,19,0,1,0,0,0,"[4, 'K', 'A', 'A', 5]","[9, 'J']"
4,10,13,1,1,17,0,13,1,1,19,0,0,0,1,0,"['K', 3, 4]","[5, 8, 6]"
4,6,14,0,0,14,0,18,1,2,24,1,1,0,0,0,"[6, 8]","['A', 7, 'K', 6]"
4,3,9,0,0,9,0,13,1,1,23,1,1,0,0,0,"[3, 6]","[3, 'Q', 'Q']"
4,10,18,0,0,18,0,16,1,1,20,0,0,0,1,0,"['K', 8]","[6, 10, 4]"
4,10,16,0,0,16,0,8,1,2,23,1,1,0,0,0,"['K', 6]","[4, 4, 'J', 5]"
4,10,12,1,1,20,0,14,1,1,21,0,0,0,1,0,"['Q', 2, 8]","[4, 'Q', 7]"
4,3,13,1,1,19,0,20,0,0,20,0,0,0,1,0,"[3, 'J', 6]","['Q', 'Q']"
4,7,10,0,0,10,0,15,1,1,22,1,1,0,0,0,"[7, 3]","[6, 9, 7]"
4,2,6,0,0,6,0,12,1,1,22,1,1,0,0,0,"[2, 4]","[10, 2, 'J']"
4,7,10,0,0,10,0,12,1,2,23,1,1,0,0,0,"[7, 3]","[3, 9, 6, 5]"
4,4,10,0,0,10,0,5,1,2,25,1,1,0,0,0,"[4, 6]","[2, 3, 'K', 'J']"
4,10,18,0,0,18,0,16,1,2,26,1,1,0,0,0,"['J', 8]","['A', 5, 'K', 10]"
4,9,19,0,0,19,0,12,1,1,19,0,0,1,0,0,"[9, 'J']","[2, 10, 7]"
4,10,15,1,1,25,1,15,1,1,19,0,0,0,1,0,"['Q', 5, 10]","[9, 6, 4]"
4,10,12,1,1,22,1,20,0,0,20,0,0,0,1,0,"['Q', 2, 'K']","['J', 10]"
4,10,19,0,0,19,0,13,1,1,21,0,0,0,1,0,"['K', 9]","[3, 'K', 8]"
4,10,14,1,1,22,1,18,1,1,19,0,0,0,1,0,"[10, 4, 8]","[8, 'Q', 'A']"
4,10,20,0,0,20,0,7,1,2,21,0,0,0,1,0,"[10, 'J']","[5, 2, 7, 7]"
4,10,14,1,1,24,1,20,0,0,20,0,0,0,1,0,"['K', 4, 10]","['Q', 10]"
4,1,19,0,0,19,0,16,1,2,23,1,1,0,0,0,"['A', 8]","['A', 5, 'J', 7]"
4,4,9,1,2,20,0,20,0,0,20,0,0,1,0,0,"[4, 5, 2, 9]","[10, 'Q']"
4,10,21,0,0,21,0,12,0,0,12,0,1,0,0,0,"[10, 'A']","['K', 2]"
4,10,20,0,0,20,0,5,1,3,22,1,1,0,0,0,"['J', 'J']","[3, 2, 2, 8, 7]"
4,7,17,0,0,17,0,15,1,2,19,0,0,0,1,0,"[7, 'Q']","['K', 5, 3, 'A']"
4,10,12,1,2,24,1,12,1,1,21,0,0,0,1,0,"[10, 2, 3, 9]","[2, 'Q', 9]"
4,4,13,0,0,13,0,6,1,2,24,1,1,0,0,0,"[4, 9]","[4, 2, 8, 10]"
4,3,13,1,2,24,1,17,1,1,20,0,0,0,1,0,"[3, 'K', 'A', 'K']","[7, 10, 3]"
4,10,20,0,0,20,0,20,0,0,20,0,0,1,0,0,"['Q', 'Q']","['J', 'Q']"
4,10,20,0,0,20,0,20,0,0,20,0,0,1,0,0,"['J', 10]","[10, 'K']"
4,10,17,0,0,17,0,7,1,2,26,1,1,0,0,0,"['Q', 7]","[2, 5, 10, 9]"
4,4,11,0,0,11,0,10,1,2,26,1,1,0,0,0,"[4, 7]","[6, 4, 6, 10]"
4,10,12,0,0,12,0,16,1,1,26,1,1,0,0,0,"['J', 2]","[10, 6, 'J']"
4,10,13,0,0,13,0,17,1,1,25,1,1,0,0,0,"['J', 3]","[10, 7, 8]"
