d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks
"2,5","2,5,4,3,A,5","10,8","10,8",0,0,4
"8,4","8,4,5","10,7","10,7",0,0,4
"6,2","6,2","6,8","6,8,K",1,0,4
"6,6","6,6,Q","6,9","6,9,5",1,0,4
"3,3","3,3,Q,8","2,7","2,7,5",0,0,4
"6,K","6,K","A,Q","A,Q",0,0,4
"9,Q","9,Q","2,7","2,7,J",0,0,4
"10,2","10,2,K","10,7","10,7",0,0,4
"10,9","10,9","2,7","2,7,3",1,0,4
"8,4","8,4,8","10,5","10,5",0,0,4
"7,9","7,9,8","10,4","10,4",1,0,4
"A,6","A,6,9,7","5,J","5,J,6",0,0,4
"5,K","5,K,8","2,J","2,J,9",1,0,4
"7,9","7,9,Q","9,7","9,7",1,0,4
"2,8","2,8","A,5","A,5,Q,2,J",1,0,4
"3,2","3,2","7,J","7,J,6",1,0,4
"2,4","2,4,8,8","K,Q","K,Q",1,0,4
"8,K","8,K","4,8","4,8",1,0,4
"2,7","2,7","Q,7","Q,7,8",1,0,4
"6,Q","6,Q,7","2,J","2,J",0,0,4
"8,7","8,7,3","5,7","5,7,10",0,1,4
"8,7","8,7,3","5,6","5,6,9",0,1,4
"6,3","6,3","J,6","J,6,9",1,0,4
"7,J","7,J","10,2","10,2",1,0,4
"J,2","J,2,4,4","5,J","5,J",1,0,4
"3,6","3,6,7,6","6,4","6,4,Q",1,0,4
"K,4","K,4,Q","K,9","K,9",1,0,4
"5,Q","5,Q,4","5,10","5,10",0,0,4
"2,K","2,K","8,K","8,K,Q",1,0,4
"3,8","3,8","6,8","6,8,K",1,0,4
"4,9","4,9,4","9,10","9,10",1,0,4
"J,Q","J,Q","4,4","4,4,5,5",0,0,4
"J,4","J,4,A,10","9,6","9,6",1,0,4
"8,Q","8,Q","10,6","10,6",0,0,4
"8,10","8,10","4,Q","4,Q",1,0,4
"K,4","K,4,J","10,9","10,9",0,0,4
"5,7","5,7,4,J","3,7","3,7,A",1,0,4
"9,10","9,10","2,5","2,5,J",0,0,4
"5,2","5,2","8,9","8,9,J",0,0,4
"5,8","5,8,A,7","2,K","2,K,A,6",1,0,4
"J,J","J,J","9,2","9,2,A,3",0,0,4
"Q,8","Q,8","10,3","10,3",1,0,4
"10,2","10,2,3,5","K,3","K,3",0,0,4
"A,9","A,9","6,10","6,10,Q",1,0,4
"4,8","4,8,Q","5,Q","5,Q",0,0,4
"2,J","2,J","6,2","6,2,2,5,3,K",1,0,4
"10,J","10,J","Q,Q","Q,Q",1,0,4
"A,4","A,4,2,K","Q,K","Q,K",1,0,4
"4,6","4,6,J","9,2","9,2,10",1,0,4
"J,6","J,6","K,A","K,A",1,0,4
"Q,K","Q,K","7,Q","7,Q",1,0,4
"10,5","10,5,9","10,6","10,6",1,0,4
"8,8","8,8,3","A,8","A,8",0,0,4
"Q,9","Q,9","A,4","A,4,10,10",0,0,4
