,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
8863,"7,5","7,5,A,7","7,10","7,10",0,0,4,0,7,12,20,1,0,17,17,0,0,0
8864,"Q,8","Q,8","8,J","8,J",1,0,4,1,10,18,18,0,0,18,18,0,0,0
8865,"10,8","10,8","6,10","6,10,9",0,0,4,1,10,18,18,0,0,16,25,1,1,0
8866,"J,9","J,9","5,7","5,7,Q",0,0,4,0,10,19,19,0,0,12,22,1,1,0
8867,"7,4","7,4","A,10","A,10",1,0,4,0,7,11,11,0,0,21,21,0,0,1
8868,"8,Q","8,Q","6,2","6,2,6,2",0,0,4,1,8,18,18,0,0,8,16,1,0,0
8869,"5,Q","5,Q,10","5,7","5,7,2",0,0,4,0,5,15,25,1,1,12,14,1,0,1
8870,"6,2","6,2","6,8","6,8,9",1,0,4,1,6,8,8,0,0,14,23,1,1,0
8871,"5,J","5,J,5","2,9","2,9,K",0,0,4,1,5,15,20,1,0,11,21,1,0,1
8872,"6,5","6,5","8,5","8,5,A,4,8",1,0,4,1,6,11,11,0,0,13,26,1,1,0
8873,"J,7","J,7","J,K","J,K",0,0,4,1,10,17,17,0,0,20,20,0,0,1
8874,"Q,K","Q,K","2,3","2,3,3,7",1,0,4,1,10,20,20,0,0,5,15,1,0,0
8875,"7,K","7,K","9,3","9,3,3,Q",0,0,4,0,7,17,17,0,0,12,25,1,1,0
8876,"K,7","K,7","A,8","A,8",1,0,4,1,10,17,17,0,0,19,19,0,0,1
8877,"5,2","5,2,9,2","6,J","6,J,3",1,0,4,0,5,7,18,1,0,16,19,1,0,1
8878,"8,5","8,5,Q","J,7","J,7",0,0,4,0,8,13,23,1,1,17,17,0,0,1
8879,"10,J","10,J","5,10","5,10",1,0,4,0,10,20,20,0,0,15,15,0,0,0
8880,"K,4","K,4,4","Q,4","Q,4",0,0,4,1,10,14,18,1,0,14,14,0,0,0
8881,"2,7","2,7","3,4","3,4,3,8,Q",1,0,4,0,2,9,9,0,0,7,28,1,1,0
8882,"10,6","10,6,4","7,7","7,7",1,0,4,0,10,16,20,1,0,14,14,0,0,0
8883,"Q,9","Q,9","2,K","2,K",1,0,4,0,10,19,19,0,0,12,12,0,0,0
8884,"Q,8","Q,8","10,7","10,7",1,0,4,0,10,18,18,0,0,17,17,0,0,0
8885,"J,4","J,4,4","9,8","9,8",1,0,4,1,10,14,18,1,0,17,17,0,0,0
8886,"A,5","A,5","2,3","2,3,5,5,8",1,0,4,1,1,16,16,0,0,5,23,1,1,0
8887,"10,J","10,J","2,3","2,3,5,7",0,0,4,1,10,20,20,0,0,5,17,1,0,0
8888,"5,6","5,6,J","9,3","9,3,A,5",0,1,4,0,5,11,21,1,0,12,18,1,0,0
8889,"5,6","5,6,J","9,5","9,5",0,1,4,0,5,11,21,1,0,14,14,0,0,0
8890,"10,8","10,8","10,3","10,3",0,0,4,1,10,18,18,0,0,13,13,0,0,0
8891,"J,2","J,2,9","6,10","6,10",0,0,4,1,10,12,21,1,0,16,16,0,0,0
8892,"7,J","7,J","2,K","2,K",0,0,4,0,7,17,17,0,0,12,12,0,0,0
8893,"2,8","2,8,4,4","2,10","2,10,8",0,0,4,1,2,10,18,1,0,12,20,1,0,1
8894,"5,3","5,3,K","10,Q","10,Q",0,0,4,0,5,8,18,1,0,20,20,0,0,1
8895,"10,J","10,J","6,8","6,8",0,0,4,0,10,20,20,0,0,14,14,0,0,0
8896,"7,K","7,K","Q,5","Q,5,5",0,0,4,1,7,17,17,0,0,15,20,1,0,1
8897,"8,10","8,10","Q,5","Q,5,2,7",0,0,4,0,8,18,18,0,0,15,24,1,1,0
8898,"10,9","10,9","K,9","K,9",1,0,4,1,10,19,19,0,0,19,19,0,0,0
8899,"2,9","2,9,8","6,5","6,5,9",0,0,4,0,2,11,19,1,0,11,20,1,0,1
8900,"J,3","J,3,6","A,6","A,6,Q",0,0,4,1,10,13,19,1,0,17,17,0,0,0
8901,"10,4","10,4,6","7,10","7,10",0,0,4,1,10,14,20,1,0,17,17,0,0,0
8902,"6,3","6,3","J,4","J,4,3,7",0,0,4,1,6,9,9,0,0,14,24,1,1,0
8903,"4,7","4,7","2,3","2,3,3,5,Q",0,0,4,1,4,11,11,0,0,5,23,1,1,0
8904,"7,4","7,4,2,10","4,3","4,3,10",0,0,4,1,7,11,23,1,1,7,17,1,0,1
8905,"9,5","9,5,A,5","9,Q","9,Q",0,0,4,0,9,14,20,1,0,19,19,0,0,0
8906,"9,3","9,3,A,J","A,9","A,9",0,0,4,0,9,12,23,1,1,20,20,0,0,1
8907,"10,10","10,10","Q,5","Q,5",1,0,4,0,10,20,20,0,0,15,15,0,0,0
8908,"4,10","4,10,J","6,6","6,6,6,A",0,1,4,1,4,14,24,1,1,12,19,1,0,1
8909,"4,10","4,10,J","6,Q","6,Q,2,3",0,1,4,1,4,14,24,1,1,16,21,1,0,1
8910,"10,K","10,K","9,6","9,6",1,0,4,0,10,20,20,0,0,15,15,0,0,0
